algo,mode,probes,trial,threads,recall10,recall1,qps,mean_ms,p50_ms,p95_ms,p99_ms,p999_ms,ios_per_q,simd_avoided,peak_rss_mb,wall_s
tapeann,drop_once,256,1,1,98.621,98.78,121.8847,8.2045,7.6866,12.5663,15.3589,17.3359,256.0,994550356,296.5,82.42
tapeann,drop_once,256,2,1,98.621,98.78,121.3301,8.242,7.7084,12.6454,15.315,17.3772,256.0,994622488,296.5,82.84
tapeann,drop_once,256,3,1,98.621,98.78,126.2482,7.9209,7.3937,12.254,14.5504,17.1901,256.0,994596749,296.2,79.59
tapeann,cache,10,1,1,75.678,80.51,2818.6975,0.3548,0.3184,0.5912,0.8637,1.0879,10.0,18701745,78.5,4.13
tapeann,cache,10,2,1,75.678,80.51,2777.8642,0.36,0.3216,0.6145,0.8809,1.159,10.0,18701745,78.2,4.2
tapeann,cache,10,3,1,75.678,80.51,2793.231,0.358,0.3183,0.6117,0.8886,1.252,10.0,18701745,77.8,4.19
tapeann,cache,25,1,1,88.353,91.16,1292.4016,0.7738,0.6877,1.3378,1.9862,2.4812,25.0,57024614,92.0,8.55
tapeann,cache,25,2,1,88.353,91.16,1298.4506,0.7701,0.686,1.3326,1.9517,2.4102,25.0,57024614,91.8,8.56
tapeann,cache,25,3,1,88.353,91.16,1281.0285,0.7806,0.6925,1.3628,1.989,2.5281,25.0,57024614,92.2,8.61
tapeann,cache,50,1,1,94.044,95.55,682.9605,1.4642,1.2943,2.5226,3.7193,4.3761,50.0,133107982,115.0,15.88
tapeann,cache,50,2,1,94.044,95.55,689.4165,1.4505,1.2837,2.4892,3.6691,4.2709,50.0,133107982,114.2,15.76
tapeann,cache,50,3,1,94.044,95.55,690.0646,1.4491,1.2854,2.4925,3.6341,4.2316,50.0,133107982,114.2,15.71
tapeann,cache,100,1,1,97.158,98.01,329.4016,3.0358,2.7142,5.2186,7.0044,8.1913,100.0,312043850,160.2,32.51
tapeann,cache,100,2,1,97.158,98.01,336.2168,2.9743,2.6786,4.9276,6.6167,7.7229,100.0,312043850,160.2,31.86
tapeann,cache,100,3,1,97.158,98.01,328.1661,3.0472,2.7277,5.1641,6.9815,8.3079,100.0,312043850,159.8,32.63
tapeann,cache,150,1,1,98.029,98.43,205.9502,4.8555,4.4934,7.6971,9.935,11.1433,150.0,514499737,203.2,51.68
tapeann,cache,150,2,1,98.029,98.43,202.1546,4.9467,4.5815,7.8671,10.0562,11.2245,150.0,514499737,204.0,52.55
tapeann,cache,150,3,1,98.029,98.43,206.6989,4.838,4.4791,7.672,9.8742,10.9762,150.0,514499737,203.8,51.49
tapeann,cache,200,1,1,98.409,98.67,154.5699,6.4696,6.0188,10.1127,12.5597,13.8754,200.0,733475015,247.2,68.8
tapeann,cache,200,2,1,98.409,98.67,155.6803,6.4234,5.9797,10.0814,12.4478,13.8457,200.0,733475015,246.8,68.28
tapeann,cache,200,3,1,98.409,98.67,159.263,6.2789,5.8223,9.8506,12.1514,13.6505,200.0,733475015,247.8,66.9
tapeann,cache,256,1,1,98.621,98.78,121.2273,8.249,7.7469,12.6188,15.1208,16.7358,256.0,994962909,296.2,87.67
tapeann,cache,256,2,1,98.621,98.78,123.1441,8.1206,7.6178,12.391,15.113,16.7934,256.0,994962909,296.2,86.37
tapeann,cache,256,3,1,98.621,98.78,123.1384,8.1209,7.6087,12.4617,15.1719,16.8513,256.0,994962909,296.2,86.36
