algo,mode,L,beamwidth,trial,threads,qps,mean_us,p999_us,mean_ios,recall10,peak_rss_mb,wall_s
diskann,cold,50,4,3,1,563.5631103515625,1773.6407,5761.0,66.671,97.627,1040.5,18.54
diskann,cold,75,4,1,1,422.4493713378906,2366.3267,6500.0,90.9304,98.795,1040.2,24.51
diskann,cold,75,4,2,1,423.8940124511719,2358.302,5958.0,90.9304,98.795,1040.0,24.38
diskann,cold,75,4,3,1,421.0104064941406,2374.4599,6237.0,90.9304,98.795,1040.7,24.54
diskann,cold,100,4,1,1,334.9402770996094,2984.7986,7323.0,115.4167,99.291,1040.6,30.63
diskann,cold,100,4,2,1,336.8363342285156,2967.9939,7762.0,115.4167,99.291,1040.5,30.47
diskann,cold,100,4,3,1,337.39202880859375,2963.1097,6886.0,115.4167,99.291,1040.1,30.44
diskann,cold,150,4,1,1,241.85914611816406,4133.8157,8336.0,164.795,99.7,1040.5,42.14
diskann,cold,150,4,2,1,241.32070922851562,4143.0344,8528.0,164.795,99.7,1040.3,42.24
diskann,cold,150,4,3,1,240.43765258789062,4158.2379,8832.0,164.795,99.7,1040.6,42.36
diskann,cold,10,8,1,1,1027.8782958984375,972.1255,3395.0,47.0337,87.66,1040.8,10.51
diskann,cold,10,8,2,1,1021.4911499023438,978.2162,3046.0,47.0337,87.66,1040.6,10.58
diskann,cold,10,8,3,1,1029.7491455078125,970.3637,3020.0,47.0337,87.66,1039.8,10.5
diskann,cold,20,8,1,1,900.5256958007812,1109.7174,4219.0,55.0594,93.923,1039.9,11.89
diskann,cold,20,8,2,1,893.9114990234375,1117.9186,3937.0,55.0594,93.923,1040.1,11.97
diskann,cold,20,8,3,1,908.7418823242188,1099.6789,3759.0,55.0594,93.923,1040.3,11.81
diskann,cold,30,8,1,1,809.9772338867188,1233.8473,3663.0,63.2747,95.965,1040.2,13.17
diskann,cold,30,8,2,1,806.2579956054688,1239.534,3519.0,63.2747,95.965,1039.6,13.19
diskann,cold,30,8,3,1,809.8329467773438,1234.0754,3894.0,63.2747,95.965,1040.6,13.13
diskann,cold,50,8,1,1,650.8224487304688,1535.7458,4830.0,81.1162,97.865,1040.7,16.15
diskann,cold,50,8,2,1,648.3054809570312,1541.7065,4118.0,81.1162,97.865,1040.4,16.26
diskann,cold,50,8,3,1,651.0186767578125,1535.2729,4739.0,81.1162,97.865,1039.5,16.17
diskann,cold,75,8,1,1,520.8097534179688,1919.2967,5433.0,104.6055,98.868,1040.2,19.99
diskann,cold,75,8,2,1,521.8202514648438,1915.5754,5583.0,104.6055,98.868,1040.7,19.97
diskann,cold,75,8,3,1,518.6885375976562,1927.1441,4998.0,104.6055,98.868,1040.8,20.06
diskann,cold,100,8,1,1,427.6025390625,2337.8133,5456.0,128.6695,99.315,1040.3,24.16
diskann,cold,100,8,2,1,433.7108459472656,2304.8614,5563.0,128.6695,99.315,1040.4,23.9
diskann,cold,100,8,3,1,431.059326171875,2319.0708,5986.0,128.6695,99.315,1040.8,23.98
diskann,cold,150,8,1,1,319.3882141113281,3130.1192,6986.0,177.519,99.713,1040.3,32.11
diskann,cold,150,8,2,1,321.587158203125,3108.716,7240.0,177.519,99.713,1040.6,31.86
diskann,cold,150,8,3,1,321.8495788574219,3106.2072,7148.0,177.519,99.713,1040.0,31.86
diskann,warm,10,1,1,1,958.5115966796875,1042.5704,3367.0,17.8657,81.487,1260.2,12.72
diskann,warm,10,1,2,1,949.6776733398438,1052.2767,3919.0,17.8657,81.487,1259.1,12.81
diskann,warm,10,1,3,1,960.3739013671875,1040.5455,3081.0,17.8657,81.487,1259.2,12.7
diskann,warm,20,1,1,1,585.25146484375,1707.9188,5016.0,27.2762,91.128,1259.9,19.36
diskann,warm,20,1,2,1,589.8385009765625,1694.6472,5014.0,27.2762,91.128,1259.3,19.24
diskann,warm,20,1,3,1,589.072265625,1696.8543,4762.0,27.2762,91.128,1258.1,19.26
diskann,warm,30,1,1,1,420.7812194824219,2375.7636,6283.0,36.8977,94.708,1260.1,26.03
diskann,warm,30,1,2,1,422.23199462890625,2367.6076,6146.0,36.8977,94.708,1258.8,25.96
diskann,warm,30,1,3,1,419.5154724121094,2382.9257,6306.0,36.8977,94.708,1259.7,26.11
diskann,warm,50,1,1,1,268.42291259765625,3724.6632,8298.0,56.453,97.411,1260.6,39.5
diskann,warm,50,1,2,1,267.43511962890625,3738.4422,8728.0,56.453,97.411,1259.6,39.65
diskann,warm,50,1,3,1,268.9261169433594,3717.7037,7929.0,56.453,97.411,1259.8,39.47
diskann,warm,75,1,1,1,183.9670867919922,5434.9359,10046.0,81.1598,98.709,1258.0,56.66
diskann,warm,75,1,2,1,184.38108825683594,5422.7274,11258.0,81.1598,98.709,1259.4,56.54
diskann,warm,75,1,3,1,184.3925018310547,5422.3793,10140.0,81.1598,98.709,1260.0,56.52
diskann,warm,100,1,1,1,139.83474731445312,7150.4142,13381.0,105.9727,99.242,1259.3,73.77
diskann,warm,100,1,2,1,139.80982971191406,7151.7288,13466.0,105.9727,99.242,1258.9,73.86
diskann,warm,100,1,3,1,139.7036590576172,7157.1619,13998.0,105.9727,99.242,1258.2,73.94
diskann,warm,150,1,1,1,94.57426452636719,10572.788,18988.0,155.7473,99.685,1260.5,107.97
diskann,warm,150,1,2,1,94.50965118408203,10580.0373,20003.0,155.7473,99.685,1259.4,108.09
diskann,warm,150,1,3,1,92.37519836425781,10824.5304,53513.0,155.7473,99.685,1259.5,111.2
diskann,warm,10,2,1,1,1397.6143798828125,714.8011,1633.0,21.8621,82.745,1259.1,9.5
diskann,warm,10,2,2,1,1386.18359375,720.7007,2991.0,21.8621,82.745,1258.9,9.51
diskann,warm,10,2,3,1,1384.9127197265625,721.3669,2679.0,21.8621,82.745,1259.5,9.51
diskann,warm,20,2,1,1,914.5142211914062,1092.7463,3502.0,31.012,91.615,1260.5,13.19
diskann,warm,20,2,2,1,909.8865966796875,1098.3106,3725.0,31.012,91.615,1259.0,13.33
diskann,warm,20,2,3,1,915.6978759765625,1091.3468,3233.0,31.012,91.615,1258.9,13.21
diskann,warm,30,2,1,1,672.5049438476562,1486.23,4644.0,40.4351,94.885,1259.5,17.18
diskann,warm,30,2,2,1,677.3721313476562,1475.5409,4229.0,40.4351,94.885,1259.0,17.08
diskann,warm,30,2,3,1,678.7166137695312,1472.6368,4381.0,40.4351,94.885,1260.3,16.99
diskann,warm,50,2,1,1,441.2185974121094,2265.6791,6040.0,59.7739,97.484,1260.2,24.92
diskann,warm,50,2,2,1,442.8789978027344,2257.1784,6041.0,59.7739,97.484,1259.3,24.9
diskann,warm,50,2,3,1,438.0157165527344,2282.2453,6114.0,59.7739,97.484,1259.3,25.13
diskann,warm,75,2,1,1,307.8875732421875,3247.1132,7321.0,84.3375,98.727,1258.4,34.79
diskann,warm,75,2,2,1,307.70892333984375,3248.9968,7446.0,84.3375,98.727,1260.6,34.73
diskann,warm,75,2,3,1,307.6770324707031,3249.332,7643.0,84.3375,98.727,1258.4,34.8
diskann,warm,100,2,1,1,234.98712158203125,4254.7093,8702.0,109.0395,99.256,1260.0,44.81
diskann,warm,100,2,2,1,234.69110107421875,4260.0696,8317.0,109.0395,99.256,1258.5,44.92
diskann,warm,100,2,3,1,235.19595336914062,4250.9422,8516.0,109.0395,99.256,1259.3,44.82
diskann,warm,150,2,1,1,159.8000946044922,6256.9249,12899.0,158.6846,99.69,1259.0,64.89
diskann,warm,150,2,2,1,160.11358642578125,6244.6966,11374.0,158.6846,99.69,1258.4,64.76
diskann,warm,150,2,3,1,160.14060974121094,6243.6588,11328.0,158.6846,99.69,1259.5,64.75
diskann,warm,10,4,1,1,1708.518310546875,584.5902,2374.0,30.1424,84.97,1259.9,8.16
diskann,warm,10,4,2,1,1725.505859375,578.8298,1862.0,30.1424,84.97,1259.8,8.08
diskann,warm,10,4,3,1,1767.8505859375,564.9673,1409.0,30.1424,84.97,1259.8,7.97
diskann,warm,20,4,1,1,1265.067626953125,789.7507,2868.0,38.7502,92.517,1259.9,10.17
diskann,warm,20,4,2,1,1270.938232421875,786.0904,2791.0,38.7502,92.517,1259.9,10.14
diskann,warm,20,4,3,1,1289.7020263671875,774.6587,1942.0,38.7502,92.517,1259.4,10.05
diskann,warm,30,4,1,1,1007.1561279296875,992.1732,2925.0,47.78,95.273,1259.2,12.21
diskann,warm,30,4,2,1,998.30322265625,1000.9662,3159.0,47.78,95.273,1259.9,12.31
diskann,warm,30,4,3,1,993.5813598632812,1005.7264,3172.0,47.78,95.273,1259.8,12.34
