algo,dataset,variant,mode,ram_cap_bytes,params_json,threads,trial,recall1,recall10,recall100,qps,mean_ms,p50_ms,p95_ms,p99_ms,p999_ms,bytes_read_total,bytes_read_per_query,bytes_per_query_app,ios_total,ios_per_query,simd_distance_calls,simd_avoided,cpu_user_s,cpu_sys_s,peak_rss_mb,wall_s,commit_sha
tapeann,sift10m,tape_int8,warm,,"{""probes"": 50}",1,2,95.55,94.044,,696.5556,1.4356,1.2798,2.499,3.4625,4.1663,0,0.0,8788229.7,4509,50.0,,133107971,7.27,15.25,114.8,15.522,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 50}",1,3,95.55,94.044,,706.9029,1.4146,1.2579,2.4692,3.3717,4.0324,0,0.0,8788229.7,4509,50.0,,133107971,7.12,15.04,114.5,15.323,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 70}",1,1,96.98,95.858,,492.0813,2.0322,1.8236,3.4996,4.7706,5.6775,0,0.0,12156692.1,4509,70.0,,201166631,10.16,21.59,132.0,21.847,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 70}",1,2,96.98,95.858,,499.6382,2.0014,1.7966,3.4583,4.7091,5.8199,0,0.0,12156692.1,4509,70.0,,201166631,10.03,21.33,133.0,21.661,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 70}",1,3,96.98,95.858,,487.6997,2.0504,1.8397,3.5441,4.8284,5.8275,0,0.0,12156692.1,4509,70.0,,201166631,10.21,21.8,132.8,21.993,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 100}",1,1,98.01,97.158,,337.1118,2.9664,2.6683,5.0787,6.6089,7.6291,0,0.0,17136076.4,4509,100.0,,312043839,14.73,31.5,159.8,31.671,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 100}",1,2,98.01,97.158,,340.0119,2.9411,2.6527,4.9969,6.3516,7.6146,0,0.0,17136076.4,4509,100.0,,312043839,14.5,31.33,159.5,31.48,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 100}",1,3,98.01,97.158,,329.4212,3.0356,2.7211,5.1867,6.7623,8.266,0,0.0,17136076.4,4509,100.0,,312043839,15.41,32.21,159.8,32.362,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 150}",1,1,98.43,98.029,,213.7119,4.6792,4.3418,7.4229,9.2955,10.3216,0,0.0,25298538.5,4509,150.0,,514499726,23.66,49.55,203.8,49.684,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 150}",1,2,98.43,98.029,,211.9976,4.717,4.3714,7.4776,9.3336,11.205,0,0.0,25298538.5,4509,150.0,,514499726,24.01,49.96,203.8,50.064,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 150}",1,3,98.43,98.029,,217.2055,4.6039,4.2601,7.3373,9.1933,10.4648,0,0.0,25298538.5,4509,150.0,,514499726,22.95,48.78,203.2,48.943,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 200}",1,1,98.67,98.409,,162.2288,6.1641,5.7477,9.5621,11.7065,13.1006,0,0.0,33347978.9,4509,200.0,,733475004,30.2,65.24,247.2,65.393,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 200}",1,2,98.67,98.409,,165.4073,6.0457,5.6373,9.4115,11.4021,13.1126,0,0.0,33347978.9,4509,200.0,,733475004,28.97,64.16,247.5,64.251,bb380a795cd44062da32056f57301d3566b0f422
tapeann,sift10m,tape_int8,warm,,"{""probes"": 200}",1,3,98.67,98.409,,159.9634,6.2514,5.8507,9.6909,11.7887,13.0459,0,0.0,33347978.9,4509,200.0,,733475004,31.11,66.12,246.8,66.29,bb380a795cd44062da32056f57301d3566b0f422
