algo,variant,dataset,mode,ram_cap_bytes,params_json,threads,n_trials,recall10_median,recall10_iqr,mean_ms_median,mean_ms_iqr,qps_median,qps_iqr,bytes_read_per_query_median,bytes_read_per_query_iqr,ios_per_query_median,ios_per_query_iqr,p99_ms_median,p99_ms_iqr,pareto_group
diskann,diskann_fp32_pq64,sift10m,warm,,"{""L"": 50, ""W"": 1}",1,1,97.409,0.0,3.6907,0.0,270.8896,0.0,292372.5,0.0,56.5882,0.0,,,diskann|diskann_fp32_pq64|sift10m|warm||1
diskann,diskann_fp32_pq64,sift10m,warm,,"{""L"": 50, ""W"": 2}",1,1,97.467,0.0,2.2374,0.0,446.791,0.0,294491.3,0.0,59.9842,0.0,,,diskann|diskann_fp32_pq64|sift10m|warm||1
diskann,diskann_fp32_pq64,sift10m,warm,,"{""L"": 50, ""W"": 4}",1,1,97.624,0.0,1.4582,0.0,685.4183,0.0,299038.7,0.0,67.0546,0.0,,,diskann|diskann_fp32_pq64|sift10m|warm||1
diskann,diskann_fp32_pq64,sift10m,warm,,"{""L"": 75, ""W"": 1}",1,1,98.723,0.0,5.389,0.0,185.5342,0.0,391398.2,0.0,81.3069,0.0,,,diskann|diskann_fp32_pq64|sift10m|warm||1
diskann,diskann_fp32_pq64,sift10m,warm,,"{""L"": 75, ""W"": 2}",1,1,98.739,0.0,3.2027,0.0,312.1552,0.0,393035.0,0.0,84.5505,0.0,,,diskann|diskann_fp32_pq64|sift10m|warm||1
diskann,diskann_fp32_pq64,sift10m,warm,,"{""L"": 75, ""W"": 4}",1,1,98.801,0.0,2.0167,0.0,495.6677,0.0,396612.8,0.0,91.3136,0.0,,,diskann|diskann_fp32_pq64|sift10m|warm||1
diskann,diskann_fp32_pq64,sift10m,warm,,"{""L"": 100, ""W"": 1}",1,1,99.26,0.0,7.1195,0.0,140.4411,0.0,490903.1,0.0,106.1376,0.0,,,diskann|diskann_fp32_pq64|sift10m|warm||1
diskann,diskann_fp32_pq64,sift10m,warm,,"{""L"": 100, ""W"": 2}",1,1,99.278,0.0,4.1822,0.0,239.0605,0.0,492013.6,0.0,109.2687,0.0,,,diskann|diskann_fp32_pq64|sift10m|warm||1
diskann,diskann_fp32_pq64,sift10m,warm,,"{""L"": 100, ""W"": 4}",1,1,99.301,0.0,2.6171,0.0,381.972,0.0,495341.6,0.0,115.8096,0.0,,,diskann|diskann_fp32_pq64|sift10m|warm||1
diskann,diskann_fp32_pq64,sift10m,warm,,"{""L"": 150, ""W"": 1}",1,1,99.682,0.0,10.5391,0.0,94.8763,0.0,690164.1,0.0,155.8986,0.0,,,diskann|diskann_fp32_pq64|sift10m|warm||1
