algo,variant,dataset,build_wall_s,build_peak_rss_mb,build_cpu_user_s,build_cpu_sys_s,index_total_bytes,index_files_json,commit_sha,timestamp
tapeann,tape_int8,sift10m,0.0,0.0,0.0,0.0,1667770949,"{""benchmark_search"": 170240, ""centroids.bin"": 5120000, ""global_mean.bin"": 512, ""ground_truth.bin"": 400000, ""index_tape.bin"": 1620267008, ""segment_table.json"": 36693189, ""test_queries.bin"": 5120000}",cb2c4d466f7c264ec379b70844b2fbf66cf80f99,2026-04-19T15:30:44
tapeann,tape_int8,sift10m,1623.54,11635.9,2152.32,29.57,6787770949,"{""benchmark_search"": 170240, ""centroids.bin"": 5120000, ""global_mean.bin"": 512, ""ground_truth.bin"": 400000, ""index_tape.bin"": 1620267008, ""segment_table.json"": 36693189, ""sift10m_base_disjoint.bin"": 5120000000, ""test_queries.bin"": 5120000}",cb2c4d466f7c264ec379b70844b2fbf66cf80f99,2026-04-19T15:58:06
